Author,Year,Title,Waterbody_name,Subrep,Latitude_decimal_degrees,Longitude_decimal_degrees,State_or_province,Country,Ecosystem_type,Fig_3_rates,Fig_4_percent,Field_or_Lab,Study_duration,Natural_or_potential,Manipulation_type,Measurement_method,Measurement_quality,Data_reported,Number_rate_estimates,Replicates_total,DNRA_rate_min,DNRA_rate_max,DNRA_rate_mean,DNRA_rate_SE,DNRA_rate_SD,Units_DNRA_rate,Type_units,Units_based_on,DNRA_percent_removal_min,DNRA_percent_removal_max,DNRA_percent_removal_mean,DNRA_percent_removal_SE,DNRA_percent_removal_SD,Total_nitrate_removal_min,Total_nitrate_removal_max,Total_nitrate_removal_mean,Total_nitrate_removal_SE,Units_nitrate_removal,Dominant_controls,Percent_removal_data,Has_N2_N2O_data,Data_pulled_by,Help_or_fix,Notes,N2_N2O_rate_min,N2_N2O_rate_max,N2_N2O_rate_mean,N2_N2O_rate_SE,Units_N2_N2O_rate
Jahangir et al.,2017,In situ denitrification and DNRA rates in groundwater beneath an integrated constructed wetland,unnamed_wetland_groundwater,high-nutrient_shallow,52.174012,-7.259888,Munster,Ireland,constructed_wetland_groundwater,no,no,Field,March_2014_to_May_2014,natural,NA,15N-enriched_nitrate-N_push-pull,high,actual,3,,NA,NA,2277,898,,ug_N_kg-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,N2_N2O_data,yes,Aaron,NA,"Shallow = 1 m below surface. Site used to treat municipal wastewater. Reported total nitrate removal, but includes all removal, not just dissimilatory. Mentioned high C concentration and high TC/NO₃⁻-N ratio in a reducing environment as the dominant control, but this was a hypothesis based on other studies and not measured.",NA,NA,1063,241,ug_N_kg-1_d-1
Jahangir et al.,2017,In situ denitrification and DNRA rates in groundwater beneath an integrated constructed wetland,unnamed_wetland_groundwater,low-nutrient_shallow,52.174012,-7.259888,Munster,Ireland,constructed_wetland_groundwater,no,no,Field,March_2014_to_May_2014,natural,NA,15N-enriched_nitrate-N_push-pull,high,actual,3,,NA,NA,1448,375,,ug_N_kg-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,N2_N2O_data,yes,Aaron,NA,"Shallow = 1 m below surface. Site used to treat municipal wastewater. Total nitrate removal includes all removal, not just dissimilatory. Mentioned high C concentration and high TC/NO₃⁻-N ratio in a reducing environment as the dominant control, but this was a hypothesis based on other studies and not measured.",NA,NA,123,38,ug_N_kg-1_d-1
Jahangir et al.,2017,In situ denitrification and DNRA rates in groundwater beneath an integrated constructed wetland,unnamed_wetland_groundwater,high-nutrient_deep,52.174012,-7.259888,Munster,Ireland,constructed_wetland_groundwater,no,no,Field,March_2014_to_May_2014,natural,NA,15N-enriched_nitrate-N_push-pull,high,actual,3,,NA,NA,804,440,,ug_N_kg-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,N2_N2O_data,yes,Aaron,NA,"Deep = 4 m below surface. Site used to treat municipal wastewater. Total nitrate removal includes all removal, not just dissimilatory. Mentioned high C concentration and high TC/NO₃⁻-N ratio in a reducing environment as the dominant control, but this was a hypothesis based on other studies and not measured.",NA,NA,341,128,ug_N_kg-1_d-1
Jahangir et al.,2017,In situ denitrification and DNRA rates in groundwater beneath an integrated constructed wetland,unnamed_wetland_groundwater,low-nutrient_deep,52.174012,-7.259888,Munster,Ireland,constructed_wetland_groundwater,no,no,Field,March_2014_to_May_2014,natural,NA,15N-enriched_nitrate-N_push-pull,high,actual,3,,NA,NA,738,201,,ug_N_kg-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,N2_N2O_data,yes,Aaron,NA,"Deep = 4 m below surface. Site used to treat municipal wastewater. Total nitrate removal includes all removal, not just dissimilatory. Mentioned high C concentration and high TC/NO₃⁻-N ratio in a reducing environment as the dominant control, but this was a hypothesis based on other studies and not measured.",NA,NA,218,192,ug_N_kg-1_d-1
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Turkey Marsh,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,Field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,"Doesn't appear to have actual DNRA rates. Instead they added nitrate to the water, measured NO3- dissapearance rates, and infered which processes were taking place based on increases/decreases in H2S, SO42-, and NH4+ concentrations. Also, note that most sites are lakes, but it seems like sampling took place in the wetlands along the lake perimiters ",,,,,
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Loosestrife Pond ,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,Field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,"Doesn't appear to have actual DNRA rates. Instead they added nitrate to the water, measured NO3- dissapearance rates, and infered which processes were taking place based on increases/decreases in H2S, SO42-, and NH4+ concentrations. Also, note that most sites are lakes, but it seems like sampling took place in the wetlands along the lake perimiters ",,,,,
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Wintergreen Lake ,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,Field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,"Doesn't appear to have actual DNRA rates. Instead they added nitrate to the water, measured NO3- dissapearance rates, and infered which processes were taking place based on increases/decreases in H2S, SO42-, and NH4+ concentrations. Also, note that most sites are lakes, but it seems like sampling took place in the wetlands along the lake perimiters ",,,,,
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Windmill Pond,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,Field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,"Doesn't appear to have actual DNRA rates. Instead they added nitrate to the water, measured NO3- dissapearance rates, and infered which processes were taking place based on increases/decreases in H2S, SO42-, and NH4+ concentrations. Also, note that most sites are lakes, but it seems like sampling took place in the wetlands along the lake perimiters ",,,,,
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Prairieville Creek,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,Field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,"Doesn't appear to have actual DNRA rates. Instead they added nitrate to the water, measured NO3- dissapearance rates, and infered which processes were taking place based on increases/decreases in H2S, SO42-, and NH4+ concentrations. Also, note that most sites are lakes, but it seems like sampling took place in the wetlands along the lake perimiters ",,,,,
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Lawrence Lake ,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,Field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,"Doesn't appear to have actual DNRA rates. Instead they added nitrate to the water, measured NO3- dissapearance rates, and infered which processes were taking place based on increases/decreases in H2S, SO42-, and NH4+ concentrations. Also, note that most sites are lakes, but it seems like sampling took place in the wetlands along the lake perimiters ",,,,,
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Three Lakes,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,Field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,NA,,,,,
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Douglas Lake Outflow ,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,Field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,NA,,,,,
Pang et al,2021,Long-term sulfide input enhances chemoautotrophic denitrification rather than DNRA in freshwater lake sediments,Hongze_Lake,before_S_incubation,33.22388889,118.4278,Jiangsu,China,lake,yes,yes,Lab,July_2017_to_Oct_2017,potential,sulfate_addtiton,15N_isotope_tracing_technique,high,estimated,1,,NA,NA,1.55,NA,0.27,nmol_N_g-1_h-1,mass,sediment_dry_wt,NA,NA,15,NA,,0.02,0.06,NA,NA,mM_d-1,Organic Carbon,DNRA_percent_data,yes,Saraf,,Not sure if field or lab exp.,,,,,
Pang et al,2021,Long-term sulfide input enhances chemoautotrophic denitrification rather than DNRA in freshwater lake sediments,Hongze_Lake,after_S_incubation,33.22388889,118.4278,Jiangsu,China,lake,yes,yes,Lab,July_2017_to_Oct_2017,potential,sulfate_addtiton,15N_isotope_tracing_technique,high,estimated,1,,NA,NA,0,NA,0,nmol_N_g-1_h-1,mass,sediment_dry_wt,NA,NA,0,NA,,0.07,0.2,NA,NA,mM_d-1,Organic Carbon,DNRA_percent_data,yes,Saraf,,Not sure if field or lab exp.,,,,,
Pang et al,2021,Long-term sulfide input enhances chemoautotrophic denitrification rather than DNRA in freshwater lake sediments,Nansi_Lake,before_S_incubation,34.58694444,117.3219,Jiangsu,China,lake,yes,yes,Lab,July_2017_to_Oct_2017,potential,sulfate_addtiton,15N_isotope_tracing_technique,high,estimated,1,,NA,NA,5.42,NA,0.41,nmol_N_g-1_h-1,mass,sediment_dry_wt,NA,NA,27,NA,,NA,NA,NA,NA,NA,Organic Carbon,DNRA_percent_data,yes,Saraf,,Not sure if field or lab exp.,,,,,
Pang et al,2021,Long-term sulfide input enhances chemoautotrophic denitrification rather than DNRA in freshwater lake sediments,Nansi_Lake,after_S_incubation,34.58694444,117.3219,Jiangsu,China,lake,yes,yes,Lab,July_2017_to_Oct_2017,potential,sulfate_addtiton,15N_isotope_tracing_technique,high,estimated,1,,NA,NA,1.23,NA,0.1,nmol_N_g-1_h-1,mass,sediment_dry_wt,NA,NA,3.5,NA,,NA,NA,NA,NA,NA,Organic Carbon,DNRA_percent_data,yes,Saraf,,Not sure if field or lab exp.,,,,,
Matheson and Sukias,2010,Nitrate removal processes in a constructed wetland treating drainage from dairy pasture,Unnamed_wetland,,-37.733333,175.583333,Waikato,New_Zealand,constructed_wetland,yes,yes,Field,October_2006,potential,nitrate_addition,15N_nitrate_tracer,high,actual,3,,0,8.8,NA,NA,,mg_N_m-2_d-1,areal,,1.918047079,4.426559356,NA,NA,,NA,NA,NA,NA,NA,"nitrate_abundance,soil_oxidation",N2_N2O_data,yes,Aaron,,"Measured in overlying water, porewater 0–5 cm, and porewater 5–10 cm. DNRA was detected only in porewater 0–5 cm. Dominant controls are speculated on, but not measured. Reduction to N2 and N2O calculated by mass balance.",190,450,337,66,mg_N_m-2_d-1
Zhang et al.,2017,"Responses of dissimilatory nitrate reduction to ammonium and denitrification to plant presence, plant species and species richness in simulated vertical flow constructed wetlands",vertical_flow_microcosm_wetland,unvegetated,28.56666667,121.35,Zhejiang,China,constructed_wetland,yes,no,Field,2015,potential,plant_species_addition,15N_tracing_technique,high,estimated,5,,NA,NA,20,2.5,NA,ug_N_g-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,plant_species,no,yes,Saraf,,NA,,,,,
Zhang et al.,2017,"Responses of dissimilatory nitrate reduction to ammonium and denitrification to plant presence, plant species and species richness in simulated vertical flow constructed wetlands",vertical_flow_microcosm_wetland,monovegetated_Iris pseudacorus,28.56666667,121.35,Zhejiang,China,constructed_wetland,yes,no,Field,2015,potential,plant_species_addition,15N tracing technique,high,estimated,5,,NA,NA,32.5,2.6,NA,ug_N_g-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,plant_species,no,yes,Saraf,,NA,,,,,
Zhang et al.,2017,"Responses of dissimilatory nitrate reduction to ammonium and denitrification to plant presence, plant species and species richness in simulated vertical flow constructed wetlands",vertical_flow_microcosm_wetland,monovegetated_Canna glauca,28.56666667,121.35,Zhejiang,China,constructed_wetland,yes,no,Field,2015,potential,plant_species_addition,15N tracing technique,high,estimated,5,,NA,NA,19.1,2.7,NA,ug_N_g-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,plant_species,no,yes,Saraf,,NA,,,,,
Zhang et al.,2017,"Responses of dissimilatory nitrate reduction to ammonium and denitrification to plant presence, plant species and species richness in simulated vertical flow constructed wetlands",vertical_flow_microcosm_wetland,monovegetated_Scirpus validus,28.56666667,121.35,Zhejiang,China,constructed_wetland,yes,no,Field,2015,potential,plant_species_addition,15N tracing technique,high,estimated,5,,NA,NA,20,3.2,NA,ug_N_g-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,plant_species,no,yes,Saraf,,NA,,,,,
Zhang et al.,2017,"Responses of dissimilatory nitrate reduction to ammonium and denitrification to plant presence, plant species and species richness in simulated vertical flow constructed wetlands",vertical_flow_microcosm_wetland,monovegetated_Cyperus alternifolius,28.56666667,121.35,Zhejiang,China,constructed_wetland,yes,no,Field,2015,potential,plant_species_addition,15N tracing technique,high,estimated,5,,NA,NA,14.39,2.9,NA,ug_N_g-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,plant_species,no,yes,Saraf,,NA,,,,,
Zhang et al.,2017,"Responses of dissimilatory nitrate reduction to ammonium and denitrification to plant presence, plant species and species richness in simulated vertical flow constructed wetlands",vertical_flow_microcosm_wetland,monovegetated_Avg,28.56666667,121.35,Zhejiang,China,constructed_wetland,yes,no,Field,2015,potential,plant_species_addition,15N tracing technique,high,estimated,5,,NA,NA,25.29,3.1,NA,ug_N_g-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,plant_species,no,yes,Saraf,,NA,,,,,
Zhang et al.,2017,"Responses of dissimilatory nitrate reduction to ammonium and denitrification to plant presence, plant species and species richness in simulated vertical flow constructed wetlands",vertical_flow_microcosm_wetland,polyvegetated_with_four_species,28.56666667,121.35,Zhejiang,China,constructed_wetland,yes,no,Field,2015,potential,plant_species_addition,15N_tracing_technique,high,estimated,5,,NA,NA,38.12,3.2,NA,ug_N_g-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,plant_species,no,yes,Saraf,,NA,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact_core_inlet_05_2015,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,Field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact core_midpoint_05_2015,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,Field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,help -not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact_core_outlet_05_2015,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,Field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact_core_inlet_08_2015,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,Field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,87,30,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact_core_midpoint_08_2015,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,Field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,22,7,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact_core_outlet_08_2015,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,Field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,48,13,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact_core_inlet_01_2016,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,Field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,11,10.5,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact_core_midpoint_01_2016,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,Field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,12,0.5,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
